product_id,product_name,category,price
1,Product_1,Beauty,8.3
2,Product_2,Home,8.3
3,Product_3,Electronics,9.2
4,Product_4,Electronics,2.6
5,Product_5,Electronics,9.4
6,Product_6,Sports,8.7
7,Product_7,Beauty,8.2
8,Product_8,Sports,1.0
9,Product_9,Beauty,6.0
10,Product_10,Sports,5.4
11,Product_11,Sports,8.6
12,Product_12,Home,1.3
13,Product_13,Sports,7.1
14,Product_14,Clothing,7.4
15,,Home,4.1
16,Product_16,Sports,4.3
17,Product_17,Electronics,8.1
18,Product_18,Clothing,4.8
19,Product_19,Clothing,3.5
20,Product_20,Clothing,4.3
21,Product_21,Home,6.3
22,Product_22,Sports,1.2
23,Product_23,Sports,5.9
24,Product_24,Electronics,2.1
,Product_25,Electronics,7.4
26,Product_26,Clothing,6.3
27,Product_27,Electronics,1.4
28,Product_28,Home,6.6
29,Product_29,Sports,2.6
30,Product_30,Clothing,5.6
31,Product_31,Electronics,3.2
32,Product_32,Home,8.8
33,Product_33,Home,9.4
34,Product_34,Electronics,2.3
35,Product_35,Sports,7.5
36,Product_36,Electronics,8.4
37,Product_37,Clothing,6.0
38,Product_38,Electronics,4.7
39,Product_39,Home,7.3
40,Product_40,Electronics,4.7
41,Product_41,Sports,5.9
42,Product_42,Beauty,9.1
43,Product_43,Electronics,3.9
44,Product_44,
45,Product_45,Sports,6.0
46,Product_46,Home,7.2
47,Product_47,Sports,6.1
48,Product_48,Sports,4.7
49,Product_49,Sports,9.7
50,Product_50,Sports,8.8
